date,time,name,market_cap,market_cap_krw_eok,change_pct,has_report,report,theme,summary
2026-06-24,15:32,삼성전자,1990.7조,19907000,9.8,false,"","반도체/AI;HBM;대형주;주주환원","메모리·HBM 가격 상승과 주주환원 강화 기대감"
2026-06-24,15:32,광주신세계,"3,272억",3272,25.3,false,"","호남반도체;소비/유통","호남 반도체 클러스터 기대와 지역 투자 유치 가능성"
2026-06-24,15:32,알테오젠,19.9조,199000,11.6,false,"","바이오;기술수출;BIO USA","기술수출 기대와 바이오 USA 개막에 따른 추가 모멘텀"
2026-06-24,15:32,남화산업,983억,983,29.9,false,"","골프;상한가권","골프 테마 상승과 54홀 보유 경쟁력 부각"
2026-06-24,15:32,보해양조,"1,091억",1091,29.9,false,"","호남반도체;소비재;상한가권","호남권 반도체 공장 기대와 일본 제품 불매운동 테마"
2026-06-24,15:32,SK하이닉스,1868.0조,18680000,2.6,true,"당일 보고서 2건 발행(Buy 1) - 최고 목표가 3,800,000원","반도체/AI;대형주;리포트","반도체 생산 테마 지속과 저가 매수 반등 기대"
2026-06-24,15:32,한올바이오파마,3.1조,31000,18.9,false,"","바이오;바이오시밀러;BIO USA","바이오시밀러 테마 상승과 바이오 USA 개막 효과"
2026-06-24,15:32,계양전기,"1,701억",1701,29.8,false,"","로보틱스;AI;상한가권","AI 융합 로보틱스 사업과 현대트랜시스 공급 계약 기대"
2026-06-24,15:32,씨피시스템,"1,283억",1283,29.9,false,"","반도체장비;테슬라;상한가권","인텔 장비 밸류체인 진입과 테슬라 공급망 기대"
2026-06-24,15:32,올릭스,2.8조,28000,13.9,false,"","바이오;비만치료제","로레알 파트너십과 ALK7 비만치료제 데이터 기대"
2026-06-24,15:32,국순당,786억,786,6.9,false,"","소비재;주류","주류대상 수상과 캔 막걸리 출시 효과"
2026-06-24,15:32,펩트론,5.0조,50000,14.6,false,"","바이오;비만치료제","월 1회 비만 치료제 파트너십과 학회 발표 기대"
2026-06-24,15:32,삼성물산,78.1조,781000,5.8,false,"","지주사;주주환원;대형주","삼성전자 지분가치 상승과 주주환원 강화 기대감"
2026-06-24,15:32,로킷헬스케어,"7,619억",7619,29.9,false,"","바이오;AI;나스닥상장;상한가권","미국 자회사 나스닥 상장 단계 진입과 AI 장기재생 플랫폼 기대"
2026-06-24,15:32,남화토건,702억,702,30.0,false,"","건설;호남반도체;상한가","건설 중소형 테마와 호남 반도체 사업 기대"
2026-06-24,15:32,소룩스,"3,040억",3040,15.6,false,"","바이오;알츠하이머","아리바이오 흡수합병에 따른 신약 가치 부각"
2026-06-24,15:32,엑스게이트,"6,379억",6379,13.5,false,"","양자보안;보안","양자보안 전환 모멘텀과 양자내성암호 사업 확대 전망"
2026-06-24,15:32,삼성바이오로직스,64.1조,641000,8.8,false,"","바이오;BIO USA;오가노이드","바이오 USA 개막과 바이오의약품 사업 확대 기대"
2026-06-24,15:32,삼기에너지솔루션즈,830억,830,30.0,false,"","전기차/배터리;로보틱스;상한가","휴머노이드 프레임 개발 낙점과 배터리부품 경쟁력"
2026-06-24,15:32,리가켐바이오,5.6조,56000,10.6,false,"","바이오;ADC","LCB84 임상과 얀센 옵션 행사 가능성 부각"
2026-06-24,15:32,금호건설,"1,805억",1805,29.9,false,"","건설;상한가권","건설 중소형 테마 상승과 공공분양 수혜 기대"
2026-06-24,15:32,엘앤씨바이오,2.5조,25000,7.2,false,"","바이오;스킨부스터","ECM 스킨부스터 성장과 인체유래 지방 활용 가능성 확대"
2026-06-24,15:32,씨어스,1.3조,13000,16.7,false,"","헬스케어;해외수주","UAE 계약 체결과 미국 시장 진출 가시화"
2026-06-24,15:32,셀트리온,38.3조,383000,7.6,false,"","바이오;바이오시밀러;BIO USA","바이오시밀러 테마와 바이오 USA 개막 효과"
2026-06-24,15:32,에이프릴바이오,"9,295억",9295,15.6,false,"","바이오;면역질환","아토피 치료제 임상 성공과 면역질환 파이프라인 진전"
